index,price,ticks_5m,ticks_15m,ticks_1h,change_5m,change_15m,change_1h,change_8h,change_1d,volume_5m,volume_15m,volume_1h,volume_8h,volume_1d,vdelta_5m,vdelta_15m,vdelta_1h,vdelta_8h,vdelta_1d,openinterest,OI_change_15m,OI_change_1h,OI_change_8h,OI_change_1d,funding_rate,marketcap,OI/MC,volatility_5m,volatility_15m,volatility_1h,BTC_correlation_1d,ETH_correlation_1d,BTC_correlation_3d,ETH_correlation_3d,BTC_beta_1d,ETH_beta_1d,BTC_beta_3d,ETH_beta_3d
ASTR/USDT,0.04214,191.0,522.0,2595.0,0.3095,0.3095,0.6449,-1.2652,-1.496,23572,78131,363952,2623615,7350802,5832,-10328,10064,-150779,-370971,"[74943805.0, 3156633]","[-209718.0, -8833, -0.279]","[-723956.0, -30493, -0.957]","[528320.0, 22253, 0.71]","[5012073.0, 211109, 7.167]",0.01,223052265,0.014,0.0752,0.0808,0.0909,0.625,0.73,-0.017,0.045,1.218,1.02,0.571,0.38
XEM/USDT,0.0245,54.0,146.0,1718.0,0.0,-0.4065,0.0,-1.2097,-2.3904,3326,16006,395942,3472582,12286840,1620,4051,-17860,-171049,-214288,"[142438219.0, 3489736]","[-145542.0, -3566, -0.102]","[-1673844.0, -41009, -1.161]","[3035164.0, 74362, 2.177]","[3672747.0, 89982, 2.647]",0.01,221400000,0.016,0.1767,0.2667,0.2312,0.309,0.301,0.011,-0.0,0.825,0.681,0.389,0.462
QTUM/USDT,2.081,219.0,648.0,2801.0,0.1926,0.3375,0.2408,-1.1401,-2.2546,25616,66215,315841,1994849,5647029,9958,-1279,28139,-13568,-72808,"[1630058.3, 3392151]","[2641.6, 5497, 0.162]","[-2424.0, -5044, -0.148]","[-8463.2, -17612, -0.517]","[47948.7, 99781, 3.031]",0.01,218210340,0.016,0.0962,0.0745,0.0853,0.751,0.796,-0.042,-0.022,1.111,0.937,0.528,0.702
ENJ/USDT,0.2164,2108.0,3764.0,7669.0,0.4643,1.1688,1.4058,0.1852,0.698,637261,1119630,2039784,13450951,38729485,80763,226441,214099,-977057,-317466,"[66638105.0, 14413822]","[456053.0, 98644, 0.689]","[123810.0, 26780, 0.186]","[101061.0, 21859, 0.152]","[-2516862.0, -544397, -3.639]",-0.122,216500000,0.067,0.2004,0.1403,0.1042,0.363,0.393,0.084,0.236,0.961,0.815,0.481,0.632
WLD/USDT,1.5978,2473.0,7803.0,39907.0,0.3959,0.2321,0.3328,1.868,4.9251,652972,2291621,10684123,155375852,258203826,103680,23488,-45004,92390,1176851,"[31875515.0, 50863759]","[10052.0, 16040, 0.032]","[-59823.0, -95460, -0.187]","[747782.0, 1193236, 2.402]","[2419324.0, 3860515, 8.213]",-0.012,213378898,0.239,0.0302,0.0841,0.1117,0.515,0.533,0.215,0.34,1.252,1.097,0.609,0.819
CVX/USDT,2.624,169.0,393.0,2353.0,0.1909,0.2292,-0.1902,-1.0185,-1.0931,28247,45224,218243,1670849,4529582,-47,159,-7840,48864,106630,"[1479634.0, 3878121]","[-157.0, -411, -0.011]","[3523.0, 9234, 0.239]","[5062.0, 13268, 0.343]","[4524.0, 11857, 0.307]",-0.187,212823081,0.018,0.0416,0.0494,0.066,0.593,0.656,0.225,0.453,-0.103,-0.121,0.006,-0.06
CELO/USDT,0.41,94.0,440.0,2007.0,0.2445,0.2445,0.2445,-0.4854,-1.9139,39250,329165,1447457,11038368,26586110,37143,38967,-20897,-19740,149674,"[15202304.4, 6232945]","[-53901.9, -22100, -0.353]","[-69273.0, -28402, -0.454]","[307648.1, 126136, 2.065]","[724330.2, 296975, 5.003]",0.01,211188592,0.03,0.1059,0.1117,0.1774,0.475,0.534,0.215,0.393,0.918,0.817,0.43,0.582
FET/USDT,0.2022,302.0,982.0,4860.0,0.3972,0.2976,0.2976,-0.2959,-0.7364,47532,146006,842834,12472146,24759472,8983,-14716,-35173,-977333,-1665587,"[33979774.0, 6863914]","[2681.0, 542, 0.008]","[61160.0, 12354, 0.18]","[-1179703.0, -238300, -3.355]","[-2479601.0, -500879, -6.801]",0.002,210988179,0.033,0.0607,0.0811,0.104,0.7,0.755,0.255,0.489,1.442,1.209,0.692,0.876
MASK/USDT,2.526,424.0,1400.0,6581.0,0.2381,0.3576,0.1189,-1.3281,-2.8462,105874,391804,1641464,12006532,35010707,7955,73047,240535,-843944,-2177174,"[5883632.0, 14832636]","[20263.0, 51083, 0.346]","[44939.0, 113291, 0.77]","[332071.0, 837151, 5.982]","[226784.0, 571722, 4.009]",0.01,207334062,0.072,0.0858,0.0883,0.1006,0.734,0.795,0.24,0.477,1.281,1.092,0.629,0.821
LRC/USDT,0.1654,130.0,266.0,1848.0,0.1817,0.0605,0.1211,-1.0766,-1.898,14732,25774,176394,1552690,4300525,5298,859,24664,-78716,-155615,"[25538366.0, 4224046]","[-16263.0, -2690, -0.064]","[92281.0, 15263, 0.363]","[416861.0, 68949, 1.659]","[914127.0, 151197, 3.712]",0.001,206086989,0.021,0.0502,0.074,0.0834,0.661,0.74,-0.086,-0.076,-0.113,-0.144,-0.033,-0.091
AGIX/USDT,0.1653,413.0,977.0,4251.0,0.3643,0.6086,0.4863,-0.3617,-1.0772,65660,139882,661645,4138254,12440898,26588,40437,26411,-86792,-759440,"[33191826.0, 5489928]","[14682.0, 2428, 0.044]","[68202.0, 11281, 0.206]","[-465280.0, -76957, -1.382]","[976237.0, 161470, 3.03]",-0.001,204641048,0.027,0.1312,0.1067,0.1015,0.72,0.777,-0.077,0.004,1.36,1.137,0.593,0.525
ROSE/USDT,0.03989,314.0,1087.0,3720.0,0.3017,0.3017,0.5292,-0.5981,-0.2999,34420,165803,501133,3608303,8936668,6491,28777,50822,119717,-102337,"[111469786.0, 4443186]","[131828.0, 5255, 0.118]","[1493289.0, 59522, 1.358]","[-1993776.0, -79472, -1.757]","[-4084170.0, -162795, -3.534]",0.01,200621058,0.022,0.0397,0.0607,0.08,0.562,0.617,0.204,0.46,0.929,0.786,0.47,0.636
ZEC/USDT,24.88,126.0,320.0,1892.0,0.2014,0.2417,0.3226,-1.1914,-2.4696,10705,38414,248312,2548918,7817580,-793,-5293,-33584,-300626,-194639,"[206641.055, 5145362]","[454.288, 11312, 0.22]","[493.107, 12278, 0.239]","[1131.965, 28186, 0.551]","[643.012, 16011, 0.312]",0.01,195552202,0.026,0.0523,0.0543,0.0811,0.64,0.729,0.177,0.416,0.861,0.74,0.397,0.531
T/USDT,0.01777,309.0,877.0,3707.0,0.2822,0.1691,0.0,-2.2014,-5.9291,33916,117391,513028,5883034,14909777,18945,-11015,-13886,-131222,-792044,"[192766634.0, 3425463]","[1016014.0, 18055, 0.53]","[1139174.0, 20243, 0.594]","[7251143.0, 128853, 3.909]","[1963750.0, 34896, 1.029]",0.01,186851550,0.018,0.1343,0.098,0.0984,0.601,0.624,-0.005,-0.011,1.051,0.863,0.547,0.634
ANKR/USDT,0.01868,219.0,565.0,3360.0,0.3222,0.3222,0.6466,-0.3733,-1.1117,29052,70558,408140,3036675,8567507,6424,9573,40731,-123035,-348293,"[201602921.0, 3757878]","[75838.0, 1414, 0.038]","[-801628.0, -14942, -0.396]","[6108500.0, 113862, 3.125]","[14692330.0, 273865, 7.861]",0.01,186800000,0.02,0.06,0.0632,0.0833,0.695,0.736,0.199,-0.021,1.094,0.936,0.584,0.461
ANT/USDT,4.591,217.0,648.0,3659.0,0.284,0.1964,-0.8637,-1.0347,-1.5652,37683,80013,413433,2793449,6633313,23296,14637,-25481,-182700,12004,"[1119038.3, 5134148]","[2268.1, 10406, 0.203]","[5641.0, 25881, 0.507]","[-14731.3, -67587, -1.299]","[6070.6, 27852, 0.545]",0.01,183818740,0.028,0.0713,0.0793,0.0899,0.533,0.643,0.124,0.193,0.894,0.776,0.426,0.549
ENS/USDT,7.101,143.0,468.0,2473.0,0.2683,0.2966,0.3533,-0.2388,-0.7963,12131,34813,202828,1922973,4925561,6515,1852,11865,-109147,-254853,"[587031.6, 4166750]","[-53.4, -379, -0.009]","[-713.4, -5064, -0.121]","[5344.6, 37936, 0.919]","[20299.2, 144084, 3.582]",0.01,183086740,0.023,0.1001,0.0804,0.0817,0.725,0.797,0.252,0.527,1.205,1.036,0.581,0.752
SEI/USDT,0.1015,281.0,712.0,3967.0,0.495,0.6944,-0.0984,-0.9756,-4.1549,73979,204456,1394795,11613458,27998855,21405,15979,-124839,-719382,-897003,"[64870611.0, 6577880]","[-86400.0, -8761, -0.133]","[143746.0, 14576, 0.222]","[-3188819.0, -323346, -4.685]","[-566175.0, -57410, -0.865]",0.007,182700000,0.036,0.1621,0.1226,0.1306,0.516,0.547,0.157,0.2,1.299,1.118,0.925,0.491
GMT/USDT,0.1405,315.0,903.0,4156.0,0.1426,0.4289,0.4289,-0.7067,-0.6365,112856,274285,1301527,11259015,29415859,49498,49047,16145,-403792,-1015507,"[101592458.0, 14283900]","[-198507.0, -27910, -0.195]","[-766783.0, -107810, -0.749]","[-2687505.0, -377863, -2.577]","[-2501833.0, -351758, -2.403]",-0.006,179907728,0.08,0.0591,0.0701,0.0939,0.693,0.74,0.282,0.273,1.239,1.019,0.536,0.778
HOT/USDT,0.001003,132.0,353.0,1732.0,0.4004,0.4004,0.7028,0.7028,-0.0996,23853,57386,330121,3886307,8976669,14496,21295,27826,-420785,-525270,"[3538372701.0, 3545449]","[5154373.0, 5165, 0.146]","[27896454.0, 27952, 0.795]","[737921123.0, 739397, 26.35]","[773093328.0, 774640, 27.957]",0.01,178152292,0.02,0.1225,0.1098,0.1029,0.614,0.668,0.06,-0.073,0.964,0.857,0.436,0.379
YFI/USDT,5075.0,257.0,628.0,3199.0,0.2766,0.1381,0.2964,-0.1574,-1.9134,36870,91240,400166,3039649,9811516,12870,8868,32111,-69105,-152050,"[1342.281, 6810734]","[2.021, 10255, 0.151]","[2.124, 10777, 0.158]","[-5.042, -25583, -0.374]","[-17.697, -89795, -1.301]",0.01,168644388,0.04,0.0908,0.0703,0.0792,0.689,0.749,0.19,0.456,1.023,0.875,0.476,0.681
IOTX/USDT,0.01767,638.0,3185.0,10254.0,0.6264,-0.2259,0.1701,-0.2822,1.5517,113653,591445,1789410,12856810,24053006,18241,-154505,-156362,-1110817,-1208382,"[308907985.0, 5449137]","[-790337.0, -13942, -0.255]","[4446291.0, 78433, 1.46]","[-14115096.0, -248990, -4.37]","[1500284.0, 26465, 0.488]",0.0,166775619,0.033,0.1419,0.2626,0.1907,0.406,0.452,0.18,0.214,1.17,0.96,0.616,0.74
LPT/USDT,5.648,401.0,1255.0,5931.0,0.2841,-0.0708,0.3554,1.0918,-2.5198,49185,153444,767929,6500263,19896428,13841,-650,31344,272922,-469503,"[1398293.9, 7896166]","[-1453.4, -8207, -0.104]","[3221.2, 18190, 0.231]","[-48680.1, -274897, -3.364]","[-42186.0, -238224, -2.929]",0.01,165470618,0.048,0.102,0.0831,0.1023,0.466,0.57,0.152,0.15,1.048,0.971,0.491,0.651
1000FLOKI/USDT,0.01652,228.0,621.0,2529.0,0.2427,0.2427,0.3036,-2.3063,-3.8976,39616,110093,410788,3388347,8194862,24516,27485,6220,77224,-216655,"[133567712.0, 2203867]","[392276.0, 6473, 0.295]","[83632.0, 1380, 0.063]","[5856952.0, 96640, 4.586]","[976136.0, 16106, 0.736]",-0.01,164284964,0.013,0.0429,0.0625,0.0938,0.66,0.698,0.473,0.536,1.48,1.249,0.744,0.641
RVN/USDT,0.01363,78.0,325.0,1685.0,0.2206,0.2206,0.0,-2.2939,-3.4018,21886,44660,179955,1563640,3864712,18141,17029,37313,-103403,-98838,"[259430991.0, 3536044]","[735276.0, 10022, 0.284]","[170148.0, 2319, 0.066]","[5653829.0, 77062, 2.228]","[23588007.0, 321505, 10.002]",0.005,162186525,0.022,0.0318,0.0759,0.0927,0.64,0.697,0.403,0.273,0.983,0.838,0.965,0.381
