index,price,ticks_5m,ticks_15m,ticks_1h,change_5m,change_15m,change_1h,change_8h,change_1d,volume_5m,volume_15m,volume_1h,volume_8h,volume_1d,vdelta_5m,vdelta_15m,vdelta_1h,vdelta_8h,vdelta_1d,openinterest,OI_change_15m,OI_change_1h,OI_change_8h,OI_change_1d,funding_rate,marketcap,OI/MC,volatility_5m,volatility_15m,volatility_1h,BTC_correlation_1d,ETH_correlation_1d,BTC_correlation_3d,ETH_correlation_3d,BTC_beta_1d,ETH_beta_1d,BTC_beta_3d,ETH_beta_3d
ETC/USDT,14.803,640.0,1977.0,9053.0,0.2574,0.3049,0.2438,-0.4506,-0.9435,159260,643449,2806022,17891333,53556296,36067,75262,261176,-296566,-1279101,"[1731879.19, 25635276]","[5830.65, 86305, 0.338]","[-1360.97, -20145, -0.079]","[34097.6, 504713, 2.008]","[47920.59, 709321, 2.846]",0.004,2120107383,0.012,0.0714,0.0598,0.0706,0.788,0.858,0.341,0.6,1.049,0.883,0.504,0.719
ATOM/USDT,6.727,1504.0,4099.0,16803.0,-0.0149,0.1638,0.5531,1.7854,0.418,526055,1604932,6247876,39161338,103797202,54652,201064,531635,577370,126413,"[5039424.48, 33895169]","[33643.79, 226288, 0.672]","[35513.2, 238862, 0.71]","[-17372.97, -116851, -0.344]","[50440.59, 339263, 1.011]",-0.037,1968519710,0.017,0.0622,0.0794,0.095,0.561,0.627,0.142,0.302,1.212,1.043,0.575,0.762
PHB/USDT,0.5571,212.0,1007.0,3066.0,0.2519,0.1078,0.1258,-0.7306,-2.7749,16488,127235,363981,2023507,10007731,3458,-53037,-54901,-145328,-709346,"[5191247.0, 2891005]","[65684.0, 36579, 1.281]","[47781.0, 26609, 0.929]","[-126611.0, -70510, -2.381]","[-255300.0, -142177, -4.687]",0.004,1886372903,0.002,0.07,0.1427,0.11,0.657,0.733,0.196,0.227,1.373,1.153,0.697,0.877
HBAR/USDT,0.04603,281.0,805.0,5105.0,0.2614,0.3269,0.0217,-0.3032,-1.5612,41514,121314,856928,7057491,21826126,10321,10612,-2628,-149465,-380416,"[181962248.0, 8370263]","[76195.0, 3505, 0.042]","[102025.0, 4693, 0.056]","[-1032725.0, -47505, -0.564]","[5782609.0, 266000, 3.282]",0.001,1541596235,0.005,0.0555,0.0549,0.0672,0.755,0.796,0.007,-0.024,0.829,0.696,0.385,0.508
FIL/USDT,3.14,483.0,1586.0,8051.0,0.1914,0.0956,-0.0318,-0.8838,-1.3509,153259,572302,3286980,20690043,53124048,49102,-61683,-42972,-1058595,-2610270,"[7140242.6, 22434642]","[-20748.9, -65193, -0.29]","[-141769.9, -445441, -1.947]","[-98681.8, -310058, -1.363]","[849.5, 2669, 0.012]",-0.005,1436981358,0.016,0.0829,0.0801,0.0876,0.739,0.791,0.257,0.515,1.289,1.105,0.667,0.799
LDO/USDT,1.5538,794.0,2215.0,9133.0,0.3812,0.2581,0.3876,0.1741,1.9688,166513,455554,1811874,17159980,37405452,20404,33262,35067,-725389,-1154170,"[16447642.0, 25561280]","[35826.0, 55677, 0.218]","[58945.0, 91606, 0.36]","[347804.0, 540522, 2.16]","[338700.0, 526374, 2.103]",0.01,1383587824,0.018,0.0786,0.0901,0.1189,0.649,0.724,0.272,0.533,1.459,1.198,0.698,0.929
ICP/USDT,2.9,226.0,569.0,3799.0,0.3113,0.346,0.2073,-0.5828,-1.2262,22347,65085,755733,4852366,12403463,2933,1419,-121134,-250724,-428255,"[2434652.0, 7055621]","[-1464.0, -4243, -0.06]","[-18236.0, -52848, -0.743]","[-40664.0, -117844, -1.643]","[-12160.0, -35240, -0.497]",-0.004,1294019431,0.005,0.0713,0.0656,0.0992,0.704,0.774,-0.046,-0.027,1.198,1.028,0.542,0.749
MKR/USDT,1384.9,880.0,2663.0,17543.0,0.2461,0.0723,0.2461,-0.667,2.041,258750,870346,6073212,62562617,133793595,22092,98477,643659,323379,1507772,"[43918.021, 60822067]","[-61.273, -84857, -0.139]","[-311.051, -430775, -0.703]","[-42.893, -59403, -0.098]","[92.422, 127995, 0.211]",0.006,1248315662,0.049,0.0909,0.0756,0.1079,0.638,0.687,0.303,0.482,1.182,0.997,0.589,0.735
QNT/USDT,85.38,237.0,655.0,2955.0,0.1055,0.1525,0.0586,-0.3618,0.1877,15268,46407,283633,1880495,5314487,1185,-5657,6494,-150641,-519927,"[75293.0, 6428516]","[-87.7, -7488, -0.116]","[124.1, 10596, 0.165]","[-62.9, -5370, -0.083]","[126.5, 10801, 0.168]",-0.01,1241781761,0.005,0.0552,0.07,0.0769,0.623,0.682,0.428,0.635,0.788,0.669,0.349,0.666
VET/USDT,0.01613,312.0,968.0,5147.0,0.1863,0.062,-0.062,-2.0644,-2.8898,66002,206953,1293635,7166156,17499996,9078,-15595,-135097,-477298,-680030,"[385468471.0, 6217606]","[159890.0, 2579, 0.041]","[-4931514.0, -79545, -1.263]","[5361352.0, 86479, 1.41]","[-12006490.0, -193665, -3.021]",0.004,1172885157,0.005,0.0806,0.0682,0.0859,0.69,0.746,-0.021,-0.092,0.021,0.002,0.015,0.013
APT/USDT,4.772,729.0,2535.0,13538.0,0.231,0.2732,-0.1465,-1.1599,-2.2331,234203,844902,4506664,29846848,76969062,55720,256074,124221,-721408,-3170665,"[7007254.7, 33452634]","[21208.8, 101251, 0.304]","[17898.5, 85447, 0.256]","[73003.3, 348518, 1.053]","[-10777.8, -51453, -0.154]",-0.013,1143611484,0.029,0.0478,0.0569,0.0902,0.693,0.772,0.195,-0.005,1.367,1.166,0.64,0.595
OP/USDT,1.2441,1897.0,4806.0,23212.0,0.3306,0.4035,0.0,-0.4322,0.8593,626601,1438326,7547365,56791300,155660052,58043,5835,-49244,-2338741,-4107074,"[31387670.2, 39049400]","[-48894.9, -60830, -0.156]","[106810.0, 132882, 0.341]","[-459771.9, -572002, -1.444]","[-267473.4, -332764, -0.845]",-0.001,1095625225,0.036,0.0626,0.0836,0.0977,0.636,0.749,0.207,0.192,1.42,1.23,0.589,0.689
ARB/USDT,0.8052,1229.0,2881.0,14935.0,0.3239,0.3114,0.1991,-0.9594,-1.6369,367621,795406,5654157,46719594,100945917,99741,93929,211454,-1615022,-2176277,"[70494382.3, 56762077]","[10013.3, 8063, 0.014]","[-15815.4, -12735, -0.022]","[177955.9, 143290, 0.253]","[466543.5, 375661, 0.666]",0.001,1026757500,0.055,0.1093,0.0844,0.1017,0.786,0.856,0.268,0.538,1.448,1.205,0.705,0.963
NEAR/USDT,1.015,429.0,957.0,5079.0,0.1974,0.1974,0.1974,-0.9756,-2.5912,146409,376103,2091131,16797904,37210620,68788,98245,-56374,-965264,-1384238,"[20856863.0, 21169716]","[-851.0, -864, -0.004]","[7864.0, 7982, 0.038]","[64851.0, 65824, 0.312]","[51967.0, 52747, 0.25]",-0.004,993893444,0.021,0.148,0.0977,0.1092,0.623,0.695,0.234,0.457,1.062,0.924,0.542,0.716
AAVE/USDT,63.17,519.0,1527.0,8653.0,0.3176,0.3973,0.1744,-0.3942,-1.266,119029,328429,2104719,13268467,33197450,72526,105419,398233,797846,703952,"[556130.1, 35108493]","[-578.7, -36533, -0.104]","[-2457.0, -155110, -0.44]","[12058.3, 761240, 2.216]","[6994.7, 441575, 1.274]",0.01,921551360,0.038,0.0658,0.0818,0.1024,0.72,0.829,-0.049,-0.037,1.262,1.081,0.625,0.78
ALGO/USDT,0.0941,349.0,849.0,3401.0,0.213,0.213,0.1064,-0.4233,-0.843,88362,268007,1057365,9477984,24201678,-4132,-30684,-61718,-281665,-374114,"[97316008.5, 9157436]","[-159545.6, -15013, -0.164]","[174111.4, 16384, 0.179]","[-650342.0, -61197, -0.664]","[2685753.9, 252729, 2.838]",0.01,744824664,0.012,0.1189,0.0973,0.1118,0.623,0.698,-0.013,-0.022,1.12,0.974,0.538,0.731
GRT/USDT,0.07966,470.0,1084.0,4685.0,0.2896,0.3275,0.492,-1.1172,-1.5693,79002,165658,665657,7696820,16068335,30879,26926,59631,626778,760031,"[90585019.0, 7211473]","[-125936.0, -10026, -0.139]","[-116065.0, -9240, -0.128]","[9114348.0, 725593, 11.187]","[11831155.0, 941878, 15.023]",-0.007,736370622,0.01,0.093,0.0713,0.0837,0.772,0.821,0.189,-0.011,1.28,1.1,0.611,0.507
STX/USDT,0.4788,453.0,1240.0,6600.0,0.3353,0.1045,-0.3331,-1.9053,-3.7201,130981,327283,1664351,12097951,30964833,15786,1008,87013,-492008,-813415,"[41668524.0, 19946722]","[-19937.0, -9544, -0.048]","[-40960.0, -19608, -0.098]","[15977.0, 7648, 0.038]","[494165.0, 236557, 1.2]",0.01,676657059,0.03,0.073,0.0843,0.0939,0.708,0.752,-0.043,-0.018,1.395,1.123,0.727,0.902
RNDR/USDT,1.7534,1438.0,4419.0,22482.0,0.4871,0.0514,-1.3891,-2.4914,-1.7978,217636,668624,4173972,35388671,74084386,43583,33521,-7971,919880,957231,"[11189921.5, 19593553]","[-33056.1, -57881, -0.295]","[-36986.2, -64763, -0.329]","[449722.7, 787464, 4.187]","[1279905.9, 2241115, 12.915]",0.001,652485113,0.03,0.0948,0.1276,0.1567,0.475,0.53,0.184,0.4,1.174,0.949,0.596,0.769
SNX/USDT,1.917,361.0,1145.0,5980.0,0.2615,0.2091,-0.1042,-0.2601,-0.2601,48438,157470,1157872,8840815,19130364,-1488,-16289,-104652,82992,-47351,"[5237757.5, 10035543]","[-8880.7, -17015, -0.169]","[-15876.2, -30419, -0.302]","[67963.1, 130217, 1.315]","[148540.7, 284604, 2.919]",-0.007,621893995,0.016,0.0934,0.0776,0.0746,0.633,0.711,0.022,0.063,1.246,1.06,0.572,0.437
XTZ/USDT,0.655,638.0,1280.0,6101.0,0.1529,0.1529,-0.3044,-1.5038,-4.2398,396687,809354,3193348,22827786,80888575,102094,93973,-76190,-2054721,-2008661,"[19454897.9, 12762413]","[-188456.9, -123628, -0.959]","[-379867.7, -249193, -1.915]","[-1315874.1, -863213, -6.335]","[-4276768.6, -2805560, -18.021]",-0.004,621500123,0.021,0.1709,0.1619,0.1501,0.446,0.417,0.125,0.227,1.231,1.037,0.626,0.66
IMX/USDT,0.5112,516.0,1829.0,8178.0,0.2746,0.255,0.6696,-0.6221,-3.6017,59958,263451,1216775,9268331,68608995,9068,30403,170176,603717,-1248756,"[16456307.0, 8409173]","[-35016.0, -17893, -0.212]","[-246413.0, -125917, -1.475]","[-604026.0, -308657, -3.541]","[3737758.0, 1909994, 29.388]",0.001,617987768,0.014,0.058,0.0796,0.0814,0.156,0.212,-0.012,0.108,1.134,1.023,0.507,0.476
INJ/USDT,7.266,480.0,1493.0,10142.0,0.3175,0.2622,0.0964,-0.4112,-0.7648,130609,297036,2285918,11956279,38745932,46920,31558,-42059,165712,-673412,"[2564135.0, 18610492]","[-918.0, -6663, -0.036]","[-4915.7, -35678, -0.191]","[19037.5, 138174, 0.748]","[52525.4, 381229, 2.091]",-0.0,608316601,0.031,0.0402,0.0612,0.0794,0.631,0.7,0.175,0.126,1.019,0.855,0.602,0.682
EOS/USDT,0.534,713.0,1139.0,6785.0,0.0,0.1876,0.0,-0.7435,0.0,525535,936432,3620170,21680050,55970611,20976,59549,-187266,-1075903,-903581,"[42480464.2, 22684568]","[-79413.2, -42407, -0.187]","[-209941.0, -112108, -0.492]","[-728387.0, -388959, -1.686]","[-121064.7, -64649, -0.284]",0.01,600034249,0.038,0.1325,0.2063,0.1658,0.521,0.567,0.031,-0.006,1.292,1.088,0.581,0.729
EGLD/USDT,22.58,469.0,867.0,3594.0,0.2219,0.0443,-0.3091,-1.0083,-1.0517,90166,161684,710159,4733866,14662256,-5831,-25040,4526,14265,-244270,"[284505.2, 6424127]","[1084.8, 24495, 0.383]","[748.5, 16901, 0.264]","[4865.5, 109863, 1.74]","[-3084.6, -69650, -1.073]",0.002,588550681,0.011,0.0851,0.07,0.0923,0.717,0.747,-0.022,-0.008,1.115,0.961,0.448,0.403
THETA/USDT,0.5855,218.0,744.0,3998.0,0.2912,0.36,0.1197,-0.2555,-0.6448,25290,117769,611458,3349358,10275940,14681,17502,92208,39169,-343469,"[10051047.7, 5880868]","[6927.6, 4053, 0.069]","[-5434.0, -3179, -0.054]","[-5872.8, -3436, -0.058]","[-484816.5, -283666, -4.602]",0.01,585500000,0.01,0.0408,0.0776,0.0784,0.731,0.817,0.283,0.531,1.008,0.846,0.503,0.663
SAND/USDT,0.2802,402.0,1191.0,4935.0,0.2863,0.3582,0.2863,-0.4264,-0.5678,137607,281574,1314882,9430143,25199952,51229,56436,100318,-293236,-609792,"[47115612.0, 13206506]","[-71372.0, -20006, -0.151]","[132088.0, 37024, 0.281]","[736853.0, 206540, 1.589]","[-157954.0, -44275, -0.334]",0.003,579641319,0.023,0.0529,0.0743,0.0889,0.761,0.847,-0.072,-0.057,1.156,0.963,0.561,0.717
AXS/USDT,4.16,480.0,1307.0,6844.0,0.1927,0.2168,0.1686,-0.8107,-1.7478,223918,415807,2271801,15870152,37201009,114692,132228,231267,-432785,-381587,"[3525481.0, 14673052]","[2599.0, 10817, 0.074]","[46354.0, 192925, 1.332]","[72636.0, 302311, 2.104]","[83909.0, 349229, 2.438]",-0.029,547024478,0.027,0.09,0.0737,0.0852,0.74,0.795,0.28,0.52,1.139,0.983,0.553,0.71
MANA/USDT,0.2748,415.0,1189.0,5117.0,0.2554,0.4386,0.2188,-0.6867,-0.9373,104828,269744,922542,7040665,19613165,21625,39663,79502,-35010,-332857,"[33313811.0, 9154635]","[-6656.0, -1829, -0.02]","[-2398.0, -659, -0.007]","[379692.0, 104339, 1.153]","[-335542.0, -92207, -0.997]",-0.004,506737398,0.018,0.0597,0.0814,0.0936,0.738,0.809,0.233,0.497,1.238,1.051,0.58,0.772
FTM/USDT,0.1804,445.0,1184.0,6060.0,0.3337,0.2779,0.111,0.111,-0.2212,155599,363251,1941267,14945100,37027340,55474,20476,58516,-514617,-443399,"[107275509.0, 19341774]","[-266315.0, -48017, -0.248]","[55437.0, 9995, 0.052]","[267638.0, 48255, 0.25]","[3957809.0, 713593, 3.831]",0.005,505775724,0.038,0.0621,0.0803,0.0875,0.738,0.82,0.304,0.536,1.294,1.115,0.61,0.818
RUNE/USDT,1.623,655.0,1831.0,8274.0,0.309,0.4332,-0.0616,-1.8742,-3.22,228267,715951,3174990,35078464,78464838,43345,111589,-87368,-201582,-540605,"[10124420.0, 16431934]","[16272.0, 26409, 0.161]","[-4946.0, -8027, -0.049]","[-145875.0, -236755, -1.42]","[-517516.0, -839928, -4.863]",0.01,488037011,0.034,0.1102,0.0865,0.0969,0.605,0.644,0.217,0.351,1.222,0.987,0.571,0.747
KAVA/USDT,0.5724,361.0,1362.0,5597.0,0.2276,0.2627,0.0699,-1.6664,-2.8843,58534,213078,767098,4524502,12928651,22880,66903,109616,37017,-359266,"[10939985.4, 6262048]","[-25830.8, -14786, -0.236]","[1393.3, 798, 0.013]","[12134.0, 6946, 0.111]","[-158395.3, -90665, -1.427]",-0.027,478292580,0.013,0.0585,0.0767,0.0752,0.724,0.778,0.175,0.164,1.074,0.92,0.632,0.723
NEO/USDT,6.657,231.0,738.0,4141.0,0.256,0.3618,0.3316,-0.7751,-1.6255,33787,144474,745572,3817095,9698812,8417,24100,31498,-67713,-301020,"[1049456.33, 6985181]","[3264.7, 21730, 0.312]","[2155.83, 14349, 0.206]","[-13700.78, -91192, -1.289]","[-8024.8, -53413, -0.759]",0.003,469447680,0.015,0.0782,0.0778,0.0802,0.795,0.831,0.271,0.572,1.059,0.889,0.558,0.664
1000XEC/USDT,0.02371,402.0,978.0,3831.0,0.4235,0.3386,0.2537,-1.6591,1.0226,122168,229728,716827,7601079,32315423,52938,14842,35625,-552232,-71111,"[120182790.0, 2843525]","[-186434.0, -4411, -0.155]","[-1226643.0, -29022, -1.01]","[-26040109.0, -616109, -17.809]","[26335246.0, 623092, 28.062]",0.01,462879030,0.006,0.0701,0.071,0.0867,0.417,0.449,-0.044,-0.042,1.084,0.891,0.54,0.633
FLOW/USDT,0.416,212.0,566.0,1865.0,0.4831,0.4831,0.7264,-0.2398,-2.1176,136002,268306,935464,5930269,17152900,-3694,14780,21788,-161769,-21834,"[11405428.3, 4744658]","[-31934.4, -13285, -0.279]","[5500.0, 2288, 0.048]","[-211504.2, -87986, -1.821]","[-187124.0, -77844, -1.614]",0.01,430023000,0.011,0.1046,0.1697,0.1964,0.445,0.51,0.014,-0.043,1.03,0.893,0.542,0.671
FXS/USDT,5.397,459.0,1204.0,6162.0,0.2601,0.0,-0.4611,0.8785,2.4099,68682,136534,844064,6014299,10993670,-15997,-20256,-80584,16486,-218335,"[1809690.7, 9768710]","[1218.2, 6576, 0.067]","[10429.2, 56297, 0.58]","[73440.0, 396429, 4.23]","[150930.8, 814724, 9.099]",0.01,401077136,0.024,0.0673,0.0699,0.1123,0.483,0.554,0.168,0.388,0.86,0.743,0.402,0.572
CHZ/USDT,0.05561,656.0,1381.0,5898.0,0.1441,0.108,0.1441,-0.9617,-1.3132,142364,252651,1049365,5996158,15492239,-13776,-30816,-26438,-118702,-373815,"[145071723.0, 8061636]","[-265219.0, -14738, -0.182]","[50682.0, 2816, 0.035]","[-83151.0, -4621, -0.057]","[4141690.0, 230154, 2.939]",0.01,387845982,0.021,0.0368,0.037,0.0796,0.749,0.805,0.091,-0.079,1.046,0.881,-0.018,0.662
CFX/USDT,0.1146,472.0,1058.0,5548.0,0.2625,0.2625,0.1748,-0.8651,-0.8651,217499,469115,2131196,16424463,43255633,71343,46456,188340,-38613,-230147,"[111843558.0, 12817272]","[-262212.0, -30049, -0.234]","[-394813.0, -45246, -0.352]","[-1122864.0, -128680, -0.994]","[1875185.0, 214896, 1.705]",0.007,384787347,0.033,0.0725,0.0676,0.1005,0.692,0.74,0.261,0.477,1.384,1.185,0.691,0.854
CRV/USDT,0.431,532.0,985.0,4448.0,0.4662,0.4662,0.4662,-0.4619,-1.373,864893,1346264,5027987,33708908,89755082,70579,-37923,184476,-87840,-765169,"[64598562.9, 27777382]","[260067.5, 111829, 0.404]","[400459.2, 172197, 0.624]","[421699.8, 181331, 0.657]","[1481909.5, 637221, 2.348]",0.01,379707918,0.073,0.3028,0.2406,0.1989,0.443,0.485,0.202,0.347,1.069,0.989,0.529,0.669
APE/USDT,1.029,518.0,1664.0,8695.0,0.1947,0.3902,0.1947,-0.194,1.3793,233643,1063189,5333616,33889676,87547548,2488,32140,251837,-117315,297512,"[31409365.0, 32288827]","[-15411.0, -15843, -0.049]","[-27092.0, -27851, -0.086]","[-254344.0, -261466, -0.803]","[299419.0, 307803, 0.962]",0.007,378914375,0.085,0.1061,0.0987,0.1276,0.553,0.635,0.242,0.414,1.276,1.102,0.647,0.826
KLAY/USDT,0.1186,272.0,656.0,3529.0,0.2536,0.3384,0.4234,-0.8361,-0.919,61613,137354,865909,6447706,20534654,4482,611,153166,-517862,-792391,"[63404853.7, 7519816]","[-42773.5, -5073, -0.067]","[-85518.5, -10142, -0.135]","[1567040.2, 185851, 2.534]","[-1068748.1, -126754, -1.658]",0.01,376748156,0.02,0.0945,0.0928,0.0977,0.529,0.607,0.23,0.213,0.942,0.758,0.663,0.587
MINA/USDT,0.3565,304.0,800.0,3076.0,0.3095,0.1686,0.0842,-0.2797,-1.3285,35679,81538,408788,3894316,11165755,5072,-2178,-21921,-166144,-668957,"[13707190.0, 4885243]","[25336.0, 9030, 0.185]","[-1920.0, -684, -0.014]","[209120.0, 74530, 1.549]","[-664272.0, -236747, -4.622]",0.001,350321489,0.014,0.1133,0.0918,0.0918,0.722,0.772,0.24,0.232,1.335,1.131,0.659,0.825
GALA/USDT,0.01301,600.0,1914.0,9074.0,0.3084,0.2311,0.2311,-0.9139,-2.1805,331212,916258,4419636,35966876,97971593,69413,116745,239007,-1303860,-3375744,"[1599052519.0, 20803673]","[469659.0, 6110, 0.029]","[6747520.0, 87785, 0.424]","[42872577.0, 557772, 2.755]","[-25798619.0, -335640, -1.588]",0.01,349883897,0.06,0.0639,0.0678,0.1135,0.623,0.69,0.237,0.445,1.66,1.48,0.808,0.999
SUI/USDT,0.4056,623.0,2169.0,11044.0,0.2719,0.1976,0.1234,-1.1455,-2.2886,253027,721747,4305110,27842394,64467446,105681,-6649,-203942,-534166,-1765041,"[56842724.5, 23066778]","[137319.0, 55724, 0.242]","[-173607.4, -70450, -0.304]","[1258936.4, 510876, 2.265]","[717193.5, 291037, 1.278]",-0.009,348889345,0.066,0.0932,0.0745,0.0877,0.719,0.782,0.123,-0.039,1.323,1.097,0.616,0.809
